filename,width,height,class,xmin,ymin,xmax,ymax
100.jpeg,2960,1440,student_copying,1221,319,2282,1154
103.jpeg,620,413,student_copying,172,8,583,385
104.jpeg,1280,853,student_copying,219,277,609,787
104.jpeg,1280,853,student_copying,1,204,255,554
105.jpeg,768,543,student_copying,401,16,725,417
106.jpeg,800,480,student_copying,412,161,754,438
107.jpeg,647,404,student,185,116,426,325
107.jpeg,647,404,student,406,64,529,252
108.jpeg,800,448,student,549,86,725,328
109.jpeg,640,340,student_copying,122,66,377,335
110.jpeg,671,447,student_copying,251,145,528,425
111.jpeg,615,410,student_copying,277,103,582,362
111.jpeg,615,410,student_copying,178,155,424,384
111.jpeg,615,410,student_copying,18,33,447,380
112.jpeg,1200,759,student,103,302,489,759
112.jpeg,1200,759,student,448,119,712,340
113.jpeg,500,350,student_copying,235,38,445,219
114.jpeg,800,533,student_copying,196,110,389,332
114.jpeg,800,533,student_copying,167,71,568,384
115.jpeg,897,597,student_copying,367,92,748,437
116.jpeg,0,0,student_copying,190,7,366,226
116.jpeg,0,0,student,33,39,223,267
117.jpeg,1300,957,student_copying,428,20,870,736
118.jpeg,800,533,student_copying,51,92,612,492
119.jpeg,1300,940,student_copying,67,215,747,826
119.jpeg,1300,940,student_copying,709,127,1112,836
120.jpeg,866,1390,student_copying,108,205,765,1333
120.jpeg,866,1390,student_copying,73,815,533,1273
120.jpeg,866,1390,student_copying,59,53,362,459
121.jpeg,0,0,student_copying,402,265,678,392
121.jpeg,0,0,student_copying,165,30,616,325
121.jpeg,0,0,student_copying,363,36,634,422
122.jpeg,759,422,student_copying,183,50,292,163
122.jpeg,759,422,student_copying,340,85,475,240
122.jpeg,759,422,student,459,106,667,337
123.jpeg,600,405,student_copying,273,152,402,377
123.jpeg,600,405,student_copying,63,65,367,356
124.jpeg,660,440,student,291,174,456,394
124.jpeg,660,440,student,445,153,593,314
124.jpeg,660,440,student,498,97,582,262
125.jpeg,1280,720,student,786,80,908,238
125.jpeg,1280,720,student,434,120,646,286
125.jpeg,1280,720,student_copying,393,298,798,690
126.jpeg,1000,750,student_copying,711,361,872,514
126.jpeg,1000,750,student_copying,251,159,309,248
126.jpeg,1000,750,student_copying,569,120,605,179
126.jpeg,1000,750,student,845,231,968,350
127.jpeg,640,401,student,97,161,351,381
127.jpeg,640,401,student,366,110,529,287
127.jpeg,640,401,student,289,54,356,125
127.jpeg,640,401,student,240,48,298,100
127.jpeg,640,401,student,137,81,222,151
128.jpeg,316,450,student_copying,95,253,287,356
128.jpeg,316,450,student_copying,2,196,156,335
128.jpeg,316,450,student,181,108,266,205
129.jpeg,800,448,student,395,78,599,316
129.jpeg,800,448,student,530,2,700,268
130.jpeg,450,299,student_copying,65,20,270,179
130.jpeg,450,299,student_copying,295,25,400,121
130.jpeg,450,299,student_copying,171,34,303,137
131.jpeg,855,571,student,473,94,712,282
131.jpeg,855,571,student,325,130,464,316
131.jpeg,855,571,student,1,303,265,512
132.jpeg,1280,720,student,443,200,714,399
132.jpeg,1280,720,student,668,260,1058,626
132.jpeg,1280,720,student,988,210,1218,495
132.jpeg,1280,720,student,117,270,424,507
