filename,width,height,class,xmin,ymin,xmax,ymax
201.jpeg,1443,639,studentcopying,370,2,1003,632
201.jpeg,1443,639,chit,478,427,636,597
201.jpeg,1443,639,studentcopying,1059,24,1443,615
201.jpeg,1443,639,chit,1147,442,1350,616
202.jpeg,1443,607,studentcopying,631,326,932,558
202.jpeg,1443,607,studentcopying,56,92,350,486
202.jpeg,1443,607,student,727,83,1025,311
202.jpeg,1443,607,student,300,20,502,294
202.jpeg,1443,607,student,443,59,617,215
203.jpeg,1471,860,studentcopying,764,270,1135,579
203.jpeg,1471,860,student,445,142,626,369
203.jpeg,1471,860,student,639,150,879,425
203.jpeg,1471,860,student,313,401,621,737
203.jpeg,1471,860,student,987,97,1235,362
204.jpeg,1473,870,studentcopying,713,53,1186,737
204.jpeg,1473,870,chit,900,548,1182,743
205.jpeg,1833,855,studentcopying,525,117,1374,835
205.jpeg,1833,855,chit,587,591,845,788
206.jpeg,1477,858,studentcopying,171,35,938,671
206.jpeg,1477,858,cellphone,487,456,830,639
207.jpeg,1344,937,studentcopying,160,29,1224,908
207.jpeg,1344,937,gesture,309,353,724,790
208.jpeg,1119,800,studentcopying,121,38,1102,763
208.jpeg,1119,800,gesture,479,414,860,756
209.jpeg,1451,715,student,95,229,383,681
209.jpeg,1451,715,student,903,174,1267,595
209.jpeg,1451,715,student,485,126,764,437
209.jpeg,1451,715,student,878,96,1092,262
209.jpeg,1451,715,student,242,69,474,288
209.jpeg,1451,715,student,1174,136,1422,421
209.jpeg,1451,715,student,704,62,881,212
209.jpeg,1451,715,student,489,15,639,155
209.jpeg,1451,715,student,77,11,279,203
210.jpeg,1361,916,studentcopying,130,21,1169,908
210.jpeg,1361,916,gesture,459,484,837,880
211.jpeg,1587,916,studentcopying,90,54,1313,896
211.jpeg,1587,916,gesture,147,453,483,909
212.jpeg,1917,832,student,30,60,434,589
212.jpeg,1917,832,student,661,92,1083,562
212.jpeg,1917,832,student,1504,126,1909,592
212.jpeg,1917,832,studentcopying,1203,102,1467,335
212.jpeg,1917,832,gesture,1220,172,1310,302
212.jpeg,1917,832,studentcopying,542,93,702,366
213.jpeg,1629,897,student,942,171,1603,884
213.jpeg,1629,897,studentcopying,115,1,1064,877
214.jpeg,1438,768,student,934,83,1438,751
214.jpeg,1438,768,studentcopying,450,11,1069,746
214.jpeg,1438,768,studentcopying,27,6,542,756
215.jpeg,1335,731,studentcopying,156,7,774,652
215.jpeg,1335,731,studentcopying,675,28,1139,659
216.jpeg,1568,773,studentcopying,994,15,1568,658
216.jpeg,1568,773,gesture,1003,373,1286,591
216.jpeg,1568,773,studentcopying,173,24,997,747
216.jpeg,1568,773,gesture,231,192,805,471
217.jpeg,1302,792,studentcopying,478,15,1148,792
217.jpeg,1302,792,student,1,126,582,782
218.jpeg,1462,694,studentcopying,664,141,1176,672
218.jpeg,1462,694,studentcopying,17,11,807,667
218.jpeg,1462,694,gesture,445,239,744,489
219.jpeg,1744,753,student,1288,325,1736,748
219.jpeg,1744,753,student,992,161,1337,572
219.jpeg,1744,753,student,887,91,1142,415
219.jpeg,1744,753,student,739,28,1012,350
219.jpeg,1744,753,student,227,367,672,722
219.jpeg,1744,753,student,17,276,455,632
219.jpeg,1744,753,student,286,132,589,412
220.jpeg,1163,474,student,373,6,813,474
220.jpeg,1163,474,studentcopying,148,42,481,450
221.jpeg,1920,815,studentcopying,490,308,818,741
221.jpeg,1920,815,student,1278,376,1599,722
221.jpeg,1920,815,studentcopying,1070,241,1239,428
221.jpeg,1920,815,studentcopying,684,248,865,422
221.jpeg,1920,815,student,1160,299,1328,503
221.jpeg,1920,815,student,320,300,495,560
221.jpeg,1920,815,student,1673,332,1883,552
221.jpeg,1920,815,student,1742,271,1858,374
221.jpeg,1920,815,student,1394,279,1496,391
221.jpeg,1920,815,student,495,250,589,338
222.jpeg,1000,465,student,302,205,644,429
222.jpeg,1000,465,student,247,123,498,346
222.jpeg,1000,465,student,179,98,321,248
222.jpeg,1000,465,student,844,104,979,308
222.jpeg,1000,465,student,726,94,865,262
222.jpeg,1000,465,student,637,105,756,252
222.jpeg,1000,465,invigilator,658,1,761,184
222.jpeg,1000,465,student,462,72,584,199
223.jpeg,700,415,student,145,154,419,403
223.jpeg,700,415,student,494,82,693,333
223.jpeg,700,415,student,352,64,521,242
223.jpeg,700,415,student,253,38,385,162
223.jpeg,700,415,student,151,8,257,129
223.jpeg,700,415,student,446,6,545,112
223.jpeg,700,415,student,336,10,430,95
224.jpeg,1351,721,studentcopying,250,53,810,665
224.jpeg,1351,721,student,728,207,976,584
224.jpeg,1351,721,student,991,215,1270,550
225.jpeg,1391,719,studentcopying,228,62,806,670
225.jpeg,1391,719,student,734,151,1025,600
225.jpeg,1391,719,student,971,230,1273,518
226.jpeg,1063,529,student,550,77,905,502
226.jpeg,1063,529,studentcopying,285,175,556,479
226.jpeg,1063,529,student,149,166,350,449
