filename,width,height,class,xmin,ymin,xmax,ymax
(251).jpeg,600,400,student,123,59,484,400
(251).jpeg,600,400,student,1,27,223,238
(251).jpeg,600,400,student,437,25,592,183
(251).jpeg,600,400,student,221,18,346,125
(251).jpeg,600,400,student,10,8,109,73
(252).jpeg,600,338,student,63,118,243,335
(252).jpeg,600,338,student,2,50,100,208
(252).jpeg,600,338,student,396,51,535,177
(252).jpeg,600,338,student,269,15,356,144
(252).jpeg,600,338,studentcopying,201,9,283,103
(252).jpeg,600,338,student,145,12,219,90
(252).jpeg,600,338,chit,237,46,274,87
(252).jpeg,600,338,studentcopying,60,5,108,63
(252).jpeg,600,338,student,101,7,159,78
(252).jpeg,600,338,student,355,1,436,71
(252).jpeg,600,338,student,509,23,591,119
(252).jpeg,600,338,student,424,16,506,72
(253).jpeg,715,376,student,626,77,711,229
(253).jpeg,715,376,student,386,153,565,245
(253).jpeg,715,376,student,33,93,218,319
(253).jpeg,715,376,student,329,77,464,185
(253).jpeg,715,376,studentcopying,512,90,609,156
(253).jpeg,715,376,student,451,58,534,134
(253).jpeg,715,376,invigilator,553,11,609,87
(253).jpeg,715,376,student,325,51,398,124
(253).jpeg,715,376,student,624,52,658,87
(253).jpeg,715,376,student,296,41,338,90
(254).jpeg,715,402,student,461,179,646,332
(254).jpeg,715,402,student,313,118,497,242
(254).jpeg,715,402,student,21,210,269,377
(254).jpeg,715,402,student,1,136,142,259
(254).jpeg,715,402,student,212,84,340,181
(254).jpeg,715,402,studentcopying,456,60,609,166
(254).jpeg,715,402,student,593,76,715,202
(254).jpeg,715,402,student,575,6,712,86
(254).jpeg,715,402,student,478,7,582,71
(254).jpeg,715,402,student,359,27,477,101
(254).jpeg,715,402,student,298,10,395,77
(254).jpeg,715,402,student,118,42,230,134
(254).jpeg,715,402,student,213,11,317,71
(254).jpeg,715,402,student,59,17,161,89
(255).jpeg,696,392,student,338,132,554,352
(255).jpeg,696,392,student,218,101,361,256
(255).jpeg,696,392,student,25,95,194,211
(255).jpeg,696,392,student,582,77,687,182
(255).jpeg,696,392,studentsleep,456,73,585,163
(255).jpeg,696,392,student,357,57,430,117
(255).jpeg,696,392,invigilator,183,10,257,155
(255).jpeg,696,392,student,13,72,97,143
(257).jpeg,660,440,student,63,126,364,369
(257).jpeg,660,440,student,1,83,150,235
(257).jpeg,660,440,student,210,19,348,138
(257).jpeg,660,440,student,321,39,470,162
(257).jpeg,660,440,student,494,37,643,191
(257).jpeg,660,440,student,471,19,524,81
(257).jpeg,660,440,student,298,5,370,59
(257).jpeg,660,440,student,109,10,223,103
(257).jpeg,660,440,student,24,12,136,86
(257).jpeg,660,440,student,396,24,458,61
(258).jpeg,650,396,student,318,155,503,335
(258).jpeg,650,396,student,440,89,550,182
(258).jpeg,650,396,student,539,65,610,126
(258).jpeg,650,396,student,174,96,308,220
(258).jpeg,650,396,student,1,64,104,185
(258).jpeg,650,396,student,101,72,199,165
(258).jpeg,650,396,studentcopying,200,68,269,147
(258).jpeg,650,396,student,310,86,393,175
(258).jpeg,650,396,studentcopying,414,71,470,135
(258).jpeg,650,396,student,388,76,441,157
(258).jpeg,650,396,student,475,42,519,94
(258).jpeg,650,396,student,358,63,401,103
(258).jpeg,650,396,student,269,68,332,128
(259).jpeg,1200,675,student,733,375,957,604
(259).jpeg,1200,675,studentcopying,500,330,731,585
(259).jpeg,1200,675,student,618,242,812,385
(259).jpeg,1200,675,student,454,256,645,388
(259).jpeg,1200,675,student,573,185,665,304
(259).jpeg,1200,675,student,381,177,560,332
(259).jpeg,1200,675,student,950,177,1086,311
(259).jpeg,1200,675,student,847,158,973,327
(259).jpeg,1200,675,student,779,152,873,265
(259).jpeg,1200,675,student,709,138,818,225
(259).jpeg,1200,675,student,630,121,716,201
(259).jpeg,1200,675,student,489,145,588,247
(259).jpeg,1200,675,student,366,130,478,239
(259).jpeg,1200,675,student,971,124,1047,195
(259).jpeg,1200,675,student,1020,88,1085,171
(259).jpeg,1200,675,student,945,78,987,125
(259).jpeg,1200,675,invigilator,264,57,347,224
(259).jpeg,1200,675,invigilator,447,45,496,135
(259).jpeg,1200,675,student,429,93,481,152
(259).jpeg,1200,675,student,46,212,179,361
(259).jpeg,1200,675,invigilator,183,77,259,305
(259).jpeg,1200,675,student,130,141,218,207
(259).jpeg,1200,675,student,47,128,103,200
(259).jpeg,1200,675,student,69,94,123,162
(259).jpeg,1200,675,student,367,62,425,134
(395).jpeg,449,280,studentcopying,209,72,409,242
(395).jpeg,449,280,student,62,62,209,228
